Store,Type,Size
1,A,1513.15
2,A,2023.07
3,B,373.92
4,A,2058.63
5,B,348.75
6,A,2025.05
7,B,707.13
8,A,1550.78
9,B,1258.33
10,B,1265.12
11,A,2074.99
12,B,1122.38
13,A,2196.22
14,A,2008.98
15,B,1237.37
16,B,571.97
17,B,931.88
18,B,1206.53
19,A,2038.19
20,A,2037.42
21,B,1401.67
22,B,1195.57
23,B,1145.33
24,A,2038.19
25,B,1281.07
26,A,1525.13
27,A,2041.84
28,A,2063.02
29,B,936.38
30,C,429.88
31,A,2037.5
32,A,2030.07
33,A,396.9
34,A,1581.14
35,B,1036.81
36,A,399.1
37,C,399.1
38,C,396.9
39,A,1841.09
40,A,1550.83
41,A,1963.21
42,C,396.9
43,C,410.62
44,C,399.1
45,B,1182.21
